City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,norman wells,65.282,-126.8329,267.75,73,98,0.26,CA,1680477038
1,bayji,34.9311,43.487,289.28,42,100,2.72,IQ,1680477039
2,usinsk,65.9939,57.5281,262.25,93,56,3.97,RU,1680476840
3,east london,-33.0153,27.9116,294.73,77,100,3.76,ZA,1680477039
4,kushima,31.4583,131.2333,289.85,72,19,5.34,JP,1680477040
5,kapaa,22.0752,-159.319,300.33,78,20,4.12,US,1680477040
6,busselton,-33.65,115.3333,287.91,91,1,4.09,AU,1680477041
7,pevek,69.7008,170.3133,246.44,99,100,1.21,RU,1680477041
8,thompson,55.7435,-97.8558,262.53,84,100,4.44,CA,1680477041
9,port elizabeth,-33.918,25.5701,293.88,72,100,2.68,ZA,1680477042
10,castro,-24.7911,-50.0119,289.9,92,60,2.97,BR,1680477042
11,oktyabrskoye,43.0645,44.7417,274.23,93,61,2.0,RU,1680477042
12,urengoy,65.9667,78.3667,267.38,96,100,3.08,RU,1680477043
13,grahamstown,-33.3042,26.5328,290.9,71,100,2.91,ZA,1680477043
14,dikson,73.5069,80.5464,246.65,95,100,5.75,RU,1680477043
15,leh,34.1667,77.5833,265.53,81,84,0.4,IN,1680477044
16,upernavik,72.7868,-56.1549,243.87,98,45,0.87,GL,1680476967
17,gold coast,-28.0,153.4333,298.28,68,100,6.69,AU,1680476943
18,punta arenas,-53.15,-70.9167,285.21,58,75,3.6,CL,1680477045
19,coolum beach,-26.5333,153.1,297.23,75,33,5.47,AU,1680477045
20,ushuaia,-54.8,-68.3,284.96,50,40,4.63,AR,1680476780
21,batagay,67.6333,134.6333,260.66,91,100,3.4,RU,1680477046
22,cayenne,4.9333,-52.3333,297.17,88,85,0.51,GF,1680476775
23,bugulma,54.55,52.8,274.87,80,23,2.43,RU,1680476880
24,chuy,-33.6971,-53.4616,290.02,78,81,2.7,UY,1680477046
25,kahului,20.8947,-156.47,302.16,51,75,7.72,US,1680477047
